1.57,23.27,1.881005556,9.618
1.58,23.27,1.908063889,9.741
1.59,23.26,1.935377778,9.833
1.6,23.27,1.9629,9.908
1.61,23.27,1.990883333,10.074
1.62,23.27,2.019238889,10.208
1.63,23.26,2.047486111,10.169
1.64,23.28,2.075666667,10.145
1.65,23.26,2.103975,10.191
1.66,23.26,2.132688889,10.337
1.67,23.27,2.161930556,10.527
1.68,23.27,2.191391667,10.606
1.69,23.27,2.220727778,10.561
1.7,23.26,2.250161111,10.596
1.71,23.27,2.280088889,10.774
1.72,23.27,2.310544444,10.964
1.73,23.27,2.341202778,11.037
1.74,23.27,2.371747222,10.996
1.75,23.27,2.401988889,10.887
1.76,23.26,2.432180556,10.869
1.77,23.27,2.462838889,11.037
1.78,23.26,2.493513889,11.043
1.79,23.26,2.524419444,11.126
1.8,23.26,2.555402778,11.154
1.81,23.27,2.586194444,11.085
1.82,23.28,2.616905556,11.056
1.83,23.27,2.647886111,11.153
1.84,23.27,2.679047222,11.218
1.85,23.27,2.710538889,11.337
1.86,23.26,2.742263889,11.421
1.87,23.27,2.774388889,11.565
1.88,23.28,2.806533333,11.572
1.89,23.28,2.839,11.688
1.9,23.28,2.871391667,11.661
1.91,23.26,2.903730556,11.642
1.92,23.28,2.936002778,11.618
1.93,23.29,2.968386111,11.658
1.94,23.27,3.000958333,11.726
1.95,23.27,3.03345,11.697
1.96,23.27,3.065877778,11.674
1.97,23.28,3.098586111,11.775
1.98,23.27,3.1313,11.777
1.99,23.27,3.164097222,11.807
2,23.27,3.197230556,11.928
2.01,23.26,3.230438889,11.955
2.02,23.26,3.263705556,11.976
2.03,23.26,3.297083333,12.016
2.04,23.28,3.330975,12.201
2.05,23.27,3.364816667,12.183
2.06,23.28,3.398719444,12.205
2.07,23.28,3.432780556,12.262
2.08,23.28,3.467219444,12.398
2.09,23.27,3.501816667,12.455
2.1,23.28,3.536383333,12.444
2.11,23.28,3.571030556,12.473
2.12,23.29,3.605930556,12.564
2.13,23.27,3.640858333,12.574
2.14,23.28,3.676161111,12.709
2.15,23.29,3.711561111,12.744
2.16,23.29,3.747247222,12.847
2.17,23.28,3.783127778,12.917
2.18,23.28,3.819352778,13.041
2.19,23.29,3.8561,13.229
2.2,23.29,3.893397222,13.427
2.21,23.29,3.930525,13.366
2.22,23.28,3.967513889,13.316
2.23,23.28,4.004561111,13.337
2.24,23.27,4.041752778,13.389
2.25,23.27,4.078644444,13.281
2.26,23.29,4.115780556,13.369
2.27,23.3,4.152875,13.354
2.28,23.29,4.189922222,13.337
2.29,23.29,4.227216667,13.426
2.3,23.29,4.264863889,13.553
2.31,23.28,4.302866667,13.681
2.32,23.28,4.34105,13.746
2.33,23.28,4.3792,13.734
2.34,23.29,4.417438889,13.766
2.35,23.28,4.455688889,13.77
2.36,23.29,4.494038889,13.806
2.37,23.29,4.532588889,13.878
2.38,23.29,4.571716667,14.086
2.39,23.29,4.610988889,14.138
2.4,23.27,4.650169444,14.105
