s,POWERELECTRICALFRONT,POWERELECTRICALREAR,POWERELECTRICALTOTAL
2.58,0,13.994,13.994
2.59,0,13.994,13.994
2.6,0,14.238,14.238
2.61,0,14.238,14.238
2.62,0,14.481,14.481
2.63,0,14.481,14.481
2.64,0,14.725,14.725
2.65,0,14.725,14.725
2.66,0,14.969,14.969
2.67,0,14.969,14.969
2.68,0,15.213,15.213
2.69,0,15.213,15.213
2.7,0,15.457,15.457
2.71,0,15.457,15.457
2.72,0,15.701,15.701
2.73,0,15.701,15.701
2.74,0,15.945,15.945
2.75,0,15.945,15.945
2.76,0,16.188,16.188
2.77,0,16.188,16.188
2.78,0,16.432,16.432
2.79,0,16.432,16.432
2.8,0,16.675,16.675
2.81,0,16.675,16.675
2.82,0,16.918,16.918
2.83,0,16.918,16.918
2.84,0,17.161,17.161
2.85,0,17.161,17.161
2.86,0,17.403,17.403
2.87,0,17.403,17.403
2.88,0,17.646,17.646
2.89,0,17.646,17.646
2.9,0,17.888,17.888
2.91,0,17.888,17.888
2.92,0,18.13,18.13
2.93,0,18.13,18.13
2.94,0,18.371,18.371
2.95,0,18.371,18.371
2.96,0,18.613,18.613
2.97,0,18.613,18.613
2.98,0,18.854,18.854
2.99,0,18.854,18.854
3,0,19.095,19.095
3.01,0,19.095,19.095
3.02,0,19.336,19.336
3.03,0,19.336,19.336
3.04,0,19.576,19.576
3.05,0,19.576,19.576
3.06,0,19.816,19.816
3.07,0,19.816,19.816
3.08,0,20.055,20.055
3.09,0,20.055,20.055
3.1,0,20.294,20.294
3.11,0,20.294,20.294
3.12,0,20.532,20.532
3.13,0,20.532,20.532
3.14,0,20.77,20.77
3.15,0,20.77,20.77
3.16,0,21.007,21.007
3.17,0,21.007,21.007
3.18,0,21.244,21.244
3.19,0,21.244,21.244
3.2,0,21.48,21.48
3.21,0,21.48,21.48
3.22,0,21.716,21.716
3.23,0,21.716,21.716
3.24,0,21.951,21.951
3.25,0,21.951,21.951
3.26,0,22.186,22.186
3.27,0,22.186,22.186
3.28,0,22.42,22.42
3.29,0,22.42,22.42
3.3,0,22.654,22.654
3.31,0,22.654,22.654
3.32,0,22.887,22.887
3.33,0,22.887,22.887
3.34,0,23.119,23.119
3.35,0,23.119,23.119
3.36,0,23.351,23.351
3.37,0,23.351,23.351
3.38,0,23.583,23.583
3.39,0,23.583,23.583
3.4,0,23.814,23.814
3.41,0,23.814,23.814
3.42,0,24.044,24.044
3.43,0,24.044,24.044
3.44,0,23.286,23.286
3.45,0,23.286,23.286
3.46,0,21.938,21.938
3.47,0,21.938,21.938
3.48,0,21.259,21.259
3.49,0,21.259,21.259
3.5,0,20.697,20.697
3.51,0,20.697,20.697
3.52,0,20.075,20.075
3.53,0,20.075,20.075
3.54,0,19.56,19.56
3.55,0,19.56,19.56
3.56,0,18.921,18.921
3.57,0,18.921,18.921
3.58,0,18.39,18.39
3.59,0,18.39,18.39
3.6,0,17.446,17.446
3.61,0,17.446,17.446
